sample,sample_code,Q_code,PR_Code,PR_results_short,toxocaris_leonina,sarcocystis_spp,Tania_serialis,cryptosporidium,giardia,toxoplasma_gondii,trichincella_spp,Pack,Huldscore,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01323,AGD10E1L1I1,,DF29,no parasites,no,no,no,no,no,no,no,SH2,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.927,42103908,78070,0.019120803,6259904670,11392957,0.0259993,17.20946046,0.972888964
EHI01313,AGD21E1L1I1,,DF18,no parasites,no,no,no,no,no,no,no,SH3,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,74.18,-20.22,0.9625,45323804,162306,0.026834149,6721463851,22459522,0.034656501,17.573212,0.969286558
EHI01284,AGC45E1L1I1,Q63,IF28,parasites,yes,no,no,no,no,no,no,P9,2,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Female,Greenland,70.297,-21.95,0.8525,27819558,493970,0.020233452,4056583886,74801533,0.029988607,17.67107043,0.946092695
EHI01314,AGC23E1L1I1,Q2,IF2,no parasites,no,no,no,no,no,no,no,P1,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9168,32120512,413420,0.023881044,4714791156,58632783,0.032927497,16.93518229,0.959738211
EHI01294,AGD15E1L1I1,,DF24,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,74.18,-20.22,0.9666,26506642,103835,0.01274587,3932186602,15028892,0.019892247,17.7993403,0.94545864
EHI01289,AGC32E1L1I1,Q27,IF15,parasites,yes,no,no,yes,no,no,no,P4,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9538,38451084,1339,0.022360291,5724389869,191439,0.029662726,17.67491433,0.957287776
EHI01331,AGD04E1L1I1,,DF35,parasites,no,no,no,yes,no,no,no,SH3,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.8995,23685984,88321,0.020783903,3511673995,12776481,0.02862423,17.47618511,0.958389168
EHI01324,AGD11E1L1I1,,DF28,no parasites,no,no,no,no,no,no,no,SH7,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9488,37758512,1365756,0.019953963,5412338431,205005134,0.027988656,17.62024514,0.965205978
EHI01307,AGD33E1L1I1,,DF8,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,74.18,-20.22,0.9612,20159000,85625,0.029508357,2981605660,11809357,0.039276334,17.68044295,0.930615805
EHI01305,AGC33E1L1I1,Q15,IF8,no parasites,no,no,no,no,no,no,no,P8,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,70.297,-21.95,0.9676,28254038,23799,0.026872728,4200906995,3399219,0.034633555,17.54435791,0.952862651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGD30,,DF9,no parasites,no,no,no,no,no,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,,,,,,,,,,,
,AGD26,,DF13,no parasites,no,no,no,no,no,no,no,SH2,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,,,,,,,,,,,
,AGD23,,DF16,no parasites,no,no,no,no,no,no,no,SH7,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGD22,,DF17,no parasites,no,no,no,no,no,no,no,SH3,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGD16,,DF23,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,,,,,,,,,,,
,AGD13,,DF26,parasites,no,no,no,yes,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGD08,,DF31,no parasites,no,no,no,no,no,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGD05,,DF34,no parasites,no,no,no,no,no,no,no,SH3,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGD01,,DF37,no parasites,no,no,no,no,no,no,no,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGC99,,DF39,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGC97,,DF41,no parasites,no,no,no,no,no,no,no,SH5,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,ABB97,Q20,IF9,no parasites,no,no,no,no,no,no,no,P1,4,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGC08,Q28,IF16,no parasites,no,no,no,no,no,no,no,P0,2,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGC17,Q29,IF17,no parasites,no,no,no,no,no,no,no,P10,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGB89,Q30,IF18,no parasites,no,no,no,no,no,no,no,P10,2,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGC26,Q31,IF19,no parasites,no,no,no,no,no,no,no,P10,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Female,Greenland,,,,,,,,,,,
,AGC11,Q62,IF27,no parasites,no,no,no,no,no,no,no,P0,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGB92,Q64,IF29,parasites,yes,no,no,no,no,no,no,P0,2,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,ACB79,Q82,IF36,no parasites,no,no,no,no,no,no,no,P8,3,canis familiaris,ittoqqortoormii,faecal,carnivora,female,greenland,,,,,,,,,,,
,AGD27,,DF12,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,SH1,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGD25,,DF14,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,SH5,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,AGD03,,DF36,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,SH3,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,,,,,,,,,,,
,AGC07,Q34,IF20,no parasites,no,no,no,no,no,no,no,P8,2,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,unknown,Greenland,,,,,,,,,,,
,,Q11,IF5,no parasites,no,no,no,no,no,no,no,P0,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,,Q81,IF35,parasites,yes,no,no,no,no,no,no,P5,3,Canis familiaris,Ittoqqortoormii,Faecal,Carnivora,Female,Greenland,,,,,,,,,,,
,AGD33,,DF7,no parasites,no,no,no,no,no,no,no,SH4,,Canis familiaris,Daneborg,Faecal,Carnivora,Male,Greenland,,,,,,,,,,,
,,,DF19,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,SH2,,Canis familiaris,Daneborg,Faecal,Carnivora,Female,Greenland,,,,,,,,,,,
