Genome	EHI01384	EHI01307	EHI01308	EHI01309	EHI01296	EHI01289	EHI01318	EHI01303	EHI01280	EHI01294	EHI01287	EHI01302	EHI01319	EHI01311	EHI01299	EHI01327	EHI01290	EHI01312	EHI01291	EHI01298	EHI01306	EHI01315	EHI01385	EHI01283	EHI01383	EHI01288	EHI01382	EHI01313	EHI01284	EHI01281	EHI01285	EHI01320	EHI01323	EHI01301	EHI01304	EHI01314	EHI01381	EHI01316	EHI01300	EHI01329	EHI01324	EHI01295	EHI01330	EHI01292	EHI01286	EHI01325	EHI01297	EHI01332	EHI01317	EHI01331	EHI01310	EHI01322	EHI01282	EHI01321	EHI01326	EHI01305	EHI01293	EHI01328
EHA01872_bin.38	44751	34656	38852	91786	45837	32981	57467	16617	67201	38019	22226	44952	27692	8294	80612	72970	26996	5210	29283	72663	54434	6863	94999	97312	68293	24135	34856	95588	22046	24691	39943	12444	60051	69904	24496	32603	20246	36199	53772	95133	46719	44215	6807	78182	66397	18728	36730	99240	25579	30335	64294	233910	55319	206412	55563	27463	22066	87844
EHA01872_bin.39	23184	13761	39418	118616	33784	12538	13318	2900	19281	13205	7290	18812	10409	63849	29261	39508	7722	72827	37224	26592	91739	2488	45506	48872	73606	14920	7560	31454	19141	47560	8421	47727	42570	24977	8050	22098	7012	16582	33217	25076	43571	26038	15198	19915	19184	10400	35634	28198	18795	15265	19820	56851	33987	166690	38838	34201	9843	55133
EHA01872_bin.6	1545	134284	24287	739387	24073	85	33976	1231	4942	46877	99	49	10082	121	54100	489238	11905	2	389	212175	408	13	3002	267109	5	26819	1480	583560	26546	17782	3017	23735	233576	70106	15848	6036	13	101491	24774	698873	69156	294311	716	388	249364	2964	115680	177475	4595	49868	29699	588684	158952	691679	195956	22911	3139	467058
EHA01873_bin.11	26675	9913	6919	26021	19503	12786	18910	4815	47178	17551	7813	11695	6328	14859	23599	22447	5156	7583	13884	59936	22885	5021	46337	19745	74202	15059	5455	43568	3763	11541	14239	30051	22813	23531	9796	9813	43819	15588	23506	28220	19759	8020	16795	32387	38270	7568	37964	27958	12042	18670	15395	53871	21940	73377	20995	25311	3686	22588
EHA01873_bin.14	1607	2593	6987	5344	829	1170	1983	371	1767	5812	2003	876	1865	1185	6600	12763	547	2	2189	8921	125	56	2639	4565	0	2045	453	51132	2531	1216	3781	1269	8198	5115	425	925	42972	2491	886	13724	2579	4098	6472	605	415073	1054	2943	4105	528	1118	17372	20535	7051	10200	1493	2433	1722	6455
EHA01873_bin.15	760	501	755	7267	1282	349	785	1489	1415	521	366	815	340	31	2245	1634	631	5553	1343	2147	268	50	2019	1222	952	43077	367	2645	489	412	808	281	10807	1180	297	440	279	494	1581	243928	768	74108	91	668	205720	341	67434	1621	520	544	1893	418797	1972	2495	894	545	3711	139342
EHA01873_bin.16	3892	14061	3765	110920	30353	2987	2981	600	3572	11885	847	3056	1245	5714	20457	21399	1367	48423	2992	39059	7128	220	3917	35348	5646	11664	624	23877	1679	4097	2393	3619	35173	17226	1056	1578	1233	18819	34448	33662	30283	13774	39728	2742	271941	4886	38383	10231	2094	16584	3990	39838	21452	61173	29698	3560	726	51424
EHA01873_bin.21	11795	10599	29436	35686	25977	12937	23916	14341	26080	14691	7603	32548	17555	7299	62311	27348	14301	27	12451	52805	35034	1240	89234	14104	32396	12589	9867	23022	23846	22853	31685	11867	35991	20011	9478	19385	4011	15840	35744	61346	13900	21674	7196	39399	59388	16198	20746	26860	34294	13024	22888	96472	34240	75832	18021	16966	23335	65118
EHA01874_bin.12	59134	47301	76873	84603	73638	66898	45292	7546	111092	53763	52866	50805	37840	168077	71569	75185	32483	323253	25411	111343	56404	78878	157031	107496	113860	62237	69469	85728	41132	70187	52334	142839	88881	74863	24737	68541	409203	60427	51133	65691	88492	32415	79057	25480	31028	39997	44643	66234	60449	38974	48413	196879	117301	280849	55164	98529	31336	66634
EHA01874_bin.13	8206	3433	3079	16358	6781	4948	5849	3563	15913	4212	2212	2702	1697	5185	6827	8825	1710	1769	4042	10191	6858	1644	12856	8643	25712	7606	2369	13113	1812	3701	4059	4559	8291	5896	3944	7885	11176	3411	5458	8616	5765	4060	3065	13960	7732	2539	12031	7548	2674	6960	1742	15834	8890	19802	7182	6458	1422	6788
EHA01874_bin.14	80636	35478	135208	94832	80747	74721	73463	7059	97388	56694	30471	84928	39009	158742	99983	101194	25116	84020	105058	126299	184033	23443	131412	107333	156561	37942	64747	95704	61037	136606	31385	195684	113714	75516	34527	101341	21745	36922	92373	82203	94333	72026	48746	56297	48238	32891	62613	100723	65145	43457	74428	127972	74805	331157	90929	95075	44693	99650
EHA01874_bin.16	73968	77087	121868	522860	145510	78057	82113	40752	112692	76056	78459	122373	48105	7088	267766	206422	60733	120411	99881	257606	113416	10949	156920	170441	124990	131184	68269	303838	48801	43177	149998	21198	131462	127288	63840	82159	42756	75166	154531	242244	119290	103436	24461	253713	239833	55432	131581	164319	61583	69652	73712	449092	251849	459898	130618	49055	41373	231117
EHA01874_bin.19	53746	38225	76412	87757	63734	57142	65524	17055	73128	34848	29461	53353	52083	10849	138285	90364	35230	10	36375	117074	137607	5515	62613	72466	95704	47863	44719	74732	37161	43936	39079	16070	75020	125830	41324	57995	7136	41549	74009	108006	81072	98683	8653	108197	98102	30566	53294	119463	32612	22180	10726	338723	73547	235268	77514	54409	57900	103747
EHA01874_bin.6	12	65322	6	43	6136	44485	32	1593	61937	12323	68498	2168	37	5	64389	52050	72	6	9	79094	10	802843	66084	14409	29	242104	483571	25214	3845	38	33	5	57488	112364	12137	116	2002	7485	3	19	11806	11	58469	4	30	2	106	53	7531	20496	18	134	38	61376	5632	20	0	49
EHA01875_bin.10	400	1489	634	7030	4552	663	24766	2014	2376	163154	135	11851	569	1070	2703	2744	2088	261	329	13097	501	446	1020	5197	816	5291	1248	6408	865	593	1989	3129	4405	3083	318	943	427	11604	262	6404	8663	1781	149	3031	3244	2020	5573	5323	1752	1857	6813	5314	6540	23888	13676	1248	196	3832
EHA01875_bin.14	25906	11134	8113	35511	28202	10101	16698	5234	44225	31350	6498	10207	5072	14081	25027	30130	6070	412	14515	40165	26172	4899	50493	32375	67049	10980	21088	32655	11743	8973	16882	7418	18996	19949	10608	8801	35577	15872	15940	17684	15511	6109	15456	31576	15351	6187	33894	30147	6815	17836	15968	42523	39986	82353	22798	15867	3996	16417
EHA01875_bin.16	0	0	0	0	18808	0	2339	0	2	169040	2	0	0	17	133878	3840	0	1	0	878	0	0	0	8840	0	403	6	124	0	0	0	0	2649	27	0	186	2	1434	0	2605	1	0	0	0	11	0	12141	4328	0	2	2	595	2	24421	187	0	0	1066
EHA01875_bin.22	130569	145148	124816	68871	348545	127455	207808	18972	126114	214667	18700	152628	73159	23250	284991	331347	44506	2766	75998	438585	121423	9132	66765	294992	60152	42678	124744	396025	57835	142672	163833	127410	372196	294174	45294	161046	11579	116431	101793	266532	442578	84082	27837	47776	63319	103703	226316	432874	72388	168440	339511	60177	271848	892205	308369	99485	46355	392423
EHA01876_bin.17	3566	16298	9336	25739	25243	1068	29156	1366	12528	15168	643	23810	3384	14892	20586	20761	2515	15512	1708	116945	8215	4110	4931	33749	6422	9412	404	36952	1880	5500	12810	1592	21934	40344	2731	707	5756	14795	5788	4626	30832	38262	1185	6627	17507	5919	26108	63382	2931	34748	10274	53076	23627	43700	57690	9543	1211	6841
EHA01876_bin.19	157895	113083	168149	445550	157102	114628	164678	56445	137915	117125	130667	141427	116300	13487	328609	262665	88688	170810	118000	388050	135949	10755	239752	235944	203892	77698	50623	322666	67050	63142	211698	43579	275920	263697	73659	142549	69301	106336	182974	518520	194430	286028	11551	373214	330207	73293	192830	268198	121729	67767	274585	896842	227497	668734	172005	99041	58860	361891
EHA01876_bin.2	105383	4891	156	3956	5640	1733	29072	62	7166	3806	1986	2865	12346	3489	7570	15045	7263	2948	1135	3780	87	3324	2299	6693	58080	5130	6164	2215	1705	7005	55937	25244	3160	1681	4419	25108	13761	1731	73	5905	6818	649974	936	295	23640	8035	356	83205	19853	4756	15256	3963	2004	19140	3331	1889	4363	369
EHA01876_bin.3	10938	1810	2750	9286	6865	4681	5007	2047	22149	4037	2970	2706	2407	5290	4765	6798	2091	320	6648	11752	10383	3473	25037	7431	30766	3004	1927	15376	4237	4807	5683	4069	13430	8568	3960	4065	12305	4213	7338	10352	8505	12807	2595	12428	4747	2574	51145	6973	3067	4545	3775	10355	9968	18037	9947	6180	1547	10906
EHA01876_bin.6	17282	64763	50370	331725	123001	28403	105111	1925	56880	101884	23456	96690	17733	900	237231	163757	15353	514	40684	288794	50466	1864	49333	171685	3342	44476	25413	298739	13706	12509	15660	1715	137582	73084	38032	10452	7778	70230	88312	303192	103382	206279	13317	15461	705142	13210	106454	230542	10709	45689	17905	255881	176834	514569	111797	22616	17899	599255
EHA01876_bin.7	923214	326718	1098791	598962	1331697	906279	673659	34951	951867	602087	162853	478471	553623	174212	1361995	939678	309316	37513	728044	1138068	1191217	51549	269444	953784	518286	173462	329825	691241	394371	1003788	287096	795885	2323152	796869	321800	1429763	78795	363274	842892	743000	871740	932188	138090	236941	737138	359353	320950	756431	584945	477019	147171	411377	1025881	1925382	422288	518759	366777	760286
EHA01876_bin.8	1225534	1772554	74830	3549567	1348765	2279431	2102205	4876	402655	1501624	711525	1711861	46512	85279	4979021	2788296	205265	2835	72110	5042917	69791	750729	3742394	2608910	65759	1218778	78117	3672747	42362	104675	26157	156115	5689812	3517829	870545	111810	16475	962698	1990554	4067157	2761324	4075218	1650396	12038	2814753	223499	1440498	3236962	621380	1709341	808966	3377904	1611662	7612866	2165625	2337538	44186	2483384
EHA01877_bin.11	6244	8222	622	68	20541	21243	1456	90	2300	3847	2431	650	707	194	182	1577	541	0	2	3552	9541	116	50	6471	765	129	1226	3628	790	133	1088	77	557	1762	1095	119	293	2553	1521	1751	3284	600	938	45	299	16959	777	4171	1786	9229	304	1180	800	63313	13521	2639	25	1376
EHA01877_bin.16	3760	27086	35092	37440	77357	13957	173061	142	163852	47926	8462	251743	33831	149749	148585	44325	568	1802	385	133266	0	12700	24630	127925	242396	75937	1335	34401	42	5030	4419	71	24649	17520	15364	6674	73226	46771	338	3230	191620	127	106989	546	555174	83	125646	374649	2618	43260	75642	59281	120417	293489	104926	1685	629	59974
EHA01877_bin.19	23245	2443	4901	12493	21843	7095	10006	3558	33921	6838	5858	3037	4022	11285	8831	8801	3452	499	9030	18195	19464	6547	25096	8895	61894	5550	3392	23101	3915	8580	11339	6512	11125	11490	7865	8351	20254	4926	14278	8805	8160	4504	5064	27697	6324	5752	24752	11940	4546	11081	6647	24528	9730	33512	12984	14347	3038	6378
EHA01877_bin.20	156	17356	1312	163	260802	68	38348	40	67592	11934	32	6502	368	102501	523396	199	23813	22	96634	1234	0	286	2031	512001	5667	103	37	78737	894	6917	27381	1362	1165	18067	8977	35053	1554	22068	108	286641	433165	48582	391	16	339371	1959	4800	72260	10603	2714	723279	70780	7444	67683	118221	184320	625	17835
EHA01877_bin.26	52061	64969	85218	246059	200926	50000	70811	15934	80949	56266	51987	87063	36142	4271	124198	123045	33513	57324	61756	175627	86744	4839	95742	214496	46680	42664	40741	202832	28623	31077	65904	12515	85056	90983	48132	47524	21946	50990	116695	152807	88894	72650	10357	129788	148080	28106	82371	136428	37846	39679	62982	268095	137571	414981	117282	41013	30485	154370
EHA01877_bin.6	814007	6820	3312	8285	140472	4986	3152	9933	53017	2007	35785	3382	2274	1170	14875	47732	581	55307	62606	111345	61687	45772	105276	3432	233757	530	5351	2053	4008	599	898	71223	90409	10782	475	22025	5044	8773	2331	3872	64961	6403	20338	6926	4782	30809	10986	24288	3059	1351	1689	24463	30793	8187	8149	8459	1299	2385
EHA01878_bin.12	23613	19914	31645	47039	40324	22255	43729	14633	34181	24395	17107	74436	54240	14284	50416	61627	29706	66	28278	71205	54386	4210	65511	28200	30557	10297	18602	44448	29360	60600	64551	27009	47819	38813	13009	24467	11829	22979	83082	64483	26898	51794	13509	47781	64377	21302	110497	49973	75766	25501	49632	288654	27805	96378	31432	33141	80690	96892
EHA01878_bin.19	2742	7144	1470	5215	10344	5458	6206	851	7371	9175	1375	14863	4770	4625	5155	8663	1144	589	2289	19928	9777	3298	3480	13447	9070	3895	12933	10872	1018	2225	3022	4143	11475	9457	1005	2786	2349	7410	2413	12954	9192	6101	3542	2536	7933	5758	29839	8077	2425	5660	5842	7942	20586	45501	12637	7413	399	20134
EHA01878_bin.20	27429	18543	38571	23541	44021	28756	28051	2604	33254	31555	4407	27174	27194	14290	46507	36709	8074	501	25719	55889	36074	2345	19593	44833	17728	8655	24835	32309	23539	32372	35900	34146	53525	28904	11532	38843	107171	13522	25102	26311	37870	20988	10113	7606	20777	15135	2342911	38762	19368	19268	26091	29991	33193	89381	28099	26679	25033	33989
EHA01878_bin.26	73283	49536	88254	168971	63438	60305	54092	37148	65920	44074	70966	61601	37635	7179	138291	103521	49385	93931	68433	118854	86125	6277	112275	124912	102223	38690	24658	159482	35791	36313	124855	29633	105252	94865	44832	81477	32935	37548	90114	142838	61209	115536	6965	212698	80074	39364	253296	97267	58157	28223	69615	272491	110335	208285	71213	39436	44866	166392
EHA01878_bin.28	1152	4937	2291	13460	7443	601	15101	1286	3821	25044	328	12901	996	3633	6827	8193	1545	6830	1068	35855	2819	1736	1800	11797	2796	4634	808	11996	987	1944	3161	3334	14033	15259	683	995	1252	7396	1465	6474	11275	6814	357	3235	6592	2259	19004	18932	4749	9618	8635	18336	7887	24067	16764	2847	1530	5039
EHA01878_bin.29	403845	470679	70008	993318	381142	761877	575937	3056	172095	433444	251431	517722	33085	59503	1348218	746053	76187	3237	54665	1360602	63460	229255	1244228	703319	53453	331379	70057	969532	38626	72105	24779	133747	1481560	913681	291722	76875	59857	262678	699934	973565	763216	971785	582726	8502	727526	72776	1511062	848686	222805	533241	311827	1055351	420866	1983588	572171	654398	40911	636227
EHA01878_bin.6	59	171	94	348	609	53	356	33	157	20364	24	53	41	11	4778	17216	128	2	92	35043	48	9	182	633	21	1903	14	864	103	60	86	34	47089	428	24	3297	18	945	61	103358	135	322	15	78	461	31	121334	655	60	81	139	3393	264	976	305	40	97	36410
EHA01879_bin.16	440	17519	235	347	648	4770	1840	148	31302	1474	6610	378	639	570	11613	31964	1333	1327	163	433423	787	13349	3775	12687	1038	64743	436	51553	115	830	1022	832	546	1117	240	475	942	58219	228	845	16416	348	109292	480	44106	285	698	3478	1306	4078	273	3145	26402	175083	7252	429	89	775
EHA01879_bin.17	3116	28713	1275	156983	27133	33704	78180	1287	10882	47128	3566	167467	1308	2004	25671	107566	2972	109998	931	678794	2188	33779	2015	48290	2151	20490	746	4981	19543	1238	2131	7382	152897	230766	6470	1190	530	49523	2118	16199	37400	81801	3882	2828	128300	2165	54608	153586	98246	249754	94566	312040	35524	186886	35703	2341	5508	45952
EHA01879_bin.20	28760	4657	11980	6688	18478	38794	14013	8336	51283	19153	98676	11960	18432	13491	26290	43022	8996	3979	7530	176076	22129	23917	8858	21975	120543	11921	5891	23095	7552	77506	9710	62947	40536	60879	8646	14217	35569	56445	46136	9512	28693	3706	111564	15817	29595	25125	24568	11459	43868	8491	6684	10108	34949	54551	30469	66088	6957	2437
EHA01879_bin.23	34691	8316	60111	62981	23694	19015	10177	4053	28622	9756	11303	31526	16630	96651	18471	22421	11097	57747	56397	36266	138972	3916	67083	19196	117590	7610	11666	20375	28220	68296	12294	71563	31649	17027	11665	33459	10088	12694	53802	39041	25224	25479	30198	27511	23509	15506	34770	20042	28625	12760	7400	53426	18943	94639	22875	51099	14775	51180
EHA01879_bin.28	58441	35761	85702	70302	59940	63098	60091	18583	82949	36421	33826	56003	58266	11670	110582	85979	39895	407	41870	109244	148399	6018	67357	76182	104686	28578	47616	71943	39655	51874	44173	18565	80551	96977	46332	65529	8434	29786	81138	92605	70452	71273	9344	122724	74121	32950	53880	107272	37756	17767	13963	239905	72637	193886	68495	59840	65572	100474
EHA01879_bin.31	24013	63186	40488	204243	105581	24931	100174	5018	44048	86351	23044	180427	17050	1587	129557	161230	13339	27942	31622	352854	44213	1901	46579	120687	16206	44145	20435	347529	12813	11931	23759	3728	113449	92040	25353	14820	9908	78746	67087	199151	89647	78142	13390	30773	282747	12158	113159	221682	13991	54250	42368	368299	169491	359979	99531	18863	14634	270814
EHA01879_bin.5	28652	198384	10063	27363	32354	56876	239561	440	52545	134793	7545	67512	4195	5478	194233	302229	2286	61	5664	369061	6186	1015	270241	137729	17264	9667	3452	301937	7046	7703	5145	12925	94283	294458	12163	6811	1559	172378	89980	3448	128100	24184	96108	1365	4672	12849	228776	273939	333745	52148	2568	27144	84000	1052719	405992	181402	3103	299199
EHA01879_bin.8	1407	2632	947	26038	4296	629	21309	3095	2695	75950	135	9772	622	1190	6340	5064	2662	716	450	45338	451	540	1269	9927	941	9738	1313	17024	1188	870	2255	4421	12804	9696	633	1998	512	13161	344	17788	8800	4227	192	9242	6414	2290	12726	7843	2154	2948	16919	9899	6032	39349	16074	1354	232	9730
EHA01879_bin.9	2820	16102	11808	30706	32607	7774	43928	2453	23137	80220	3146	2631	4268	6788	29753	25979	13008	802	2255	140974	8985	4024	7919	27021	3738	36808	11810	64540	4840	12957	21234	4290	74470	56551	10801	7403	4755	16520	6521	54527	51193	17440	1951	13031	18579	3359	61560	35323	6897	21321	8807	52392	31244	174123	50323	5023	1660	41959
EHA01880_bin.11	23	30142	22	153	2956	18934	67	301	25945	5624	30091	906	121	120	63942	22303	47	27	15	25629	22	348987	28780	5409	124	53553	210104	10171	1663	38	112	68	24866	36621	5210	109	184	3583	26	68	4048	25	24443	9	143	47	298	121	3277	8485	80	43	138	26870	2636	62	6	140
EHA01880_bin.15	4414	6881	3627	20089	16180	21733	5209	1080	31331	10121	15906	11684	28221	45619	26070	9978	2479	54504	1395	13076	15242	15369	20737	15761	64311	3632	5694	19178	1480	32840	14649	42993	6140	18425	3052	2470	83789	13978	8706	10158	18612	11760	16503	3376	6793	7835	16684	7583	21491	8185	5148	39131	11683	48612	9745	27334	4166	9438
EHA01880_bin.18	22702	4935	6348	13801	12852	9067	12561	4577	43016	9563	5834	4359	4199	11746	25920	12730	4842	464	10013	32595	21250	4405	45518	15754	72843	7690	4078	29944	2946	8519	12145	6250	13467	13321	9695	8031	33449	8162	14775	13297	11261	4873	7406	32026	9700	6166	31716	18550	6295	15858	5724	33079	15586	65652	17552	15449	3177	11177
EHA01880_bin.19	82227	56383	117405	88223	87376	86842	85812	27014	116097	49892	45644	71388	80763	16216	208875	160650	56578	1180	54636	139241	212124	8780	99135	113757	156827	39992	70781	112118	59079	69825	60770	24287	93687	122969	65750	89014	11592	42957	112805	122984	105241	101077	13787	170762	101549	47149	72155	158750	48466	24144	13352	312931	103227	262039	98405	82343	87108	119926
EHA01880_bin.21	204843	194229	209941	134056	495472	199901	278068	21555	211733	256299	31609	215996	130717	36074	461837	473425	78707	5697	150743	559426	239808	15931	82069	391322	120269	67154	184047	478060	91561	256335	229844	201755	625195	435606	76914	315014	17587	169083	168885	373202	589208	158641	38898	75022	127342	151604	293324	555112	136831	218715	410639	118567	417491	1083685	345760	135432	87570	504729
EHA01881_bin.13	104415	2270	7760	2198	1164856	1116452	3493656	12522	423035	1511428	213551	2611	1410	117	2007608	870314	209964	34	291	799014	684	1390	52518	539373	61346	16725	2637	3554	336580	735	1449	989129	5342	1415690	597186	981	458	2128	2431	2739	698604	2307	466999	355	2067	1043	361393	1470784	1492431	9276	6662	94430	4205	748059	910518	1340	737014	1797
EHA01881_bin.21	73981	60477	74454	196778	71813	63174	97339	24232	61099	67563	63111	150610	45147	7592	174913	156223	44998	111324	50284	190269	67177	8730	138103	129553	85467	47890	31272	151270	32999	31399	104641	20908	156156	304025	35517	64599	29996	54724	93524	222748	94230	128090	17349	170606	101665	34874	82410	126726	84978	50484	113212	412963	123285	351766	104844	45318	27076	147847
EHA01881_bin.23	44995	44314	71988	98346	66105	51703	82008	15580	69108	40782	26756	59808	46681	9150	162187	102258	33001	459	38726	154522	121585	4849	55409	73915	84614	51987	39710	78210	34041	40268	36187	15070	106908	191748	40211	54053	6683	53455	65377	152108	90934	124817	7869	108106	137719	27308	55768	147817	31478	28391	21506	476414	82592	291067	95221	47184	54142	147726
EHA01882_bin.11	432	1917	709	10649	5490	1427	18560	2495	5506	66579	782	33708	681	1109	3902	5373	2822	272	384	14173	510	531	1289	4535	796	8206	1257	7589	971	678	2238	4016	9229	5456	740	1593	734	10324	515	10342	8059	2887	1962	3910	7278	2261	5713	5258	2061	3186	6366	15477	6441	23655	14468	1402	282	7854
EHA01882_bin.21	35911	64877	50532	46266	55480	32481	40289	24065	83786	92949	16398	96123	47438	28334	67169	106860	59390	105837	5852	90184	23549	20766	48065	136385	27028	17365	13109	103742	71246	13970	58430	25878	68958	99491	10698	15205	50908	48055	31141	46021	92894	28801	93636	130536	33966	18880	68027	62190	104152	67346	79402	58306	40788	524819	66311	32924	3541	52899
EHA01882_bin.22	97827	51170	148707	88643	99231	107103	77597	32787	149258	56872	56738	152854	100298	20069	132284	117584	70433	14766	68768	116892	263431	10075	114509	125984	172186	32743	82652	117757	69959	84985	74345	32138	95192	89925	80533	116267	12952	30864	141267	112909	97024	66936	15537	217448	49153	57831	70622	138848	61709	29031	12093	225139	111841	280848	98585	104440	109760	104305
EHA01882_bin.25	57733	40676	63459	176717	65484	47810	49608	24783	68003	57848	55529	223437	37423	6062	209217	115176	44917	449428	54908	136835	62452	6402	128929	118756	111791	45921	34510	122584	32089	30053	118384	17774	159750	111309	33266	56587	27228	37535	78936	163232	78394	59626	6027	146041	106991	35380	74746	97372	48630	93267	99190	250610	90860	245047	81678	38195	27839	166770
EHA01882_bin.26	1422	2721	648	2645	2737	30324	6627	7230	25854	9908	7433	76371	8253	5462	2677	7576	2361	40385	368	17384	9286	11792	35046	3576	96928	592	14520	8358	409	17996	6174	5748	4052	6982	11506	2708	32527	4662	2685	1143	33952	3805	15830	11266	1108	22242	10083	8177	7548	33004	63113	3166	5475	32131	5956	8346	904	8375
EHA01883_bin.11	4254	26821	3632	17091	24628	26334	5902	674	37262	9569	5429	18290	40008	26517	10664	11168	1494	1582	824	9686	21224	2873	1668	32867	72527	1334	5594	33287	513	41040	20223	55846	4471	24144	3118	1137	9778	13857	8671	10783	36499	14436	7494	1949	5472	9880	18985	10262	27908	17902	7719	8195	12032	69184	10436	39549	4537	11715
EHA01883_bin.14	2608	16497	9689	9759	19567	858	21005	1082	11238	10952	303	7410	3101	12362	16331	10963	2111	3677	1004	49178	6056	1599	4277	27672	3384	6468	23	32982	2798	4409	11980	702	10446	17672	2183	1092	4886	9476	4437	848	23662	15155	338	5720	3953	5502	17482	44572	2068	7313	4320	20943	17809	25095	48010	8198	823	2347
