EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01311	AGB87E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9954999999999999	33347130	115805	0.019735034651453875	4951512745	17176644	0.026276597769028687	17.181310963951	0.970056643051258
EHI01300	AGB79E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	Greenland	70.297	-21.95	0.9323	36443872	278045	0.02620231463469902	5382823318	42086962	0.03362535609490547	17.3877364527546	0.966013052482655
EHI01286	AGD32E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9882	33313218	313858	0.030271639766072056	4902671275	44026595	0.040030053726669124	17.0517872546413	0.982315297242645
EHI01287	AGC12E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	Greenland	70.297	-21.95	0.9172	19859782	855956	0.025666368606920176	2826215121	129656036	0.033220445780027696	17.5995407624692	0.931039141782268
EHI01328	AGC98E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9308	41008160	203691	0.020964148872649635	6061945401	27879864	0.030736441798231207	17.4533565099316	0.979201612049374
EHI01292	AGC18E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.7232999999999999	40159986	36686	0.02042674382272258	5964480529	5501443	0.029210372129830242	17.3848787834902	0.967324413349605
EHI01315	AGC42E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.8691	35961288	2433439	0.040267041735519316	4985455542	370691905	0.047036128737462435	17.6863316813461	0.951237172704974
EHI01322	AGD40E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9704999999999999	56723288	229392	0.025186034832730964	8391035278	28936514	0.03532788988347835	17.1838522379417	0.980337298961988
EHI01332	AGD09E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9754999999999999	40541728	131960	0.028534143508673004	6009225904	18005686	0.03716491827039159	17.504550858225	0.973686273231701
EHI01325	AGB90E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.8636	23715482	193299	0.01805239713319362	3495571363	28877445	0.027126651289827386	18.0479826580084	0.919510545719329
EHI01323	AGD10E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.927	42103908	78070	0.019120802861534503	6259904670	11392957	0.02599929973434234	17.2094604587078	0.972888963594929
EHI01313	AGD21E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Female	Greenland	74.18	-20.22	0.9625	45323804	162306	0.026834148795907065	6721463851	22459522	0.034656501215016844	17.5732120046636	0.969286557603106
EHI01284	AGC4E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	Greenland	70.297	-21.95	0.8525	27819558	493970	0.020233451578688944	4056583886	74801533	0.029988606775189774	17.6710704319475	0.946092694563717
EHI01314	AGC23E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9168000000000001	32120512	413420	0.0238810442361429	4714791156	58632783	0.032927496972468884	16.9351822894028	0.959738210963777
EHI01294	AGD15E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Female	Greenland	74.18	-20.22	0.9666	26506642	103835	0.012745869898208695	3932186602	15028892	0.019892247170028243	17.7993403011183	0.945458639755439
EHI01289	AGC32E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	Greenland	70.297	-21.95	0.9538	38451084	1339	0.022360290833638996	5724389869	191439	0.029662725927777633	17.6749143288964	0.957287776168672
EHI01331	AGD04E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.8995000000000001	23685984	88321	0.020783902579384117	3511673995	12776481	0.02862423035751105	17.4761851109161	0.958389167997186
EHI01324	AGD11E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9488	37758512	1365756	0.019953963014885723	5412338431	205005134	0.0279886560391851	17.6202451442422	0.965205978058948
EHI01307	AGD33E1L1I1	Canis familiaris	Daneborg	Faecal	Carnivora	Male	Greenland	74.18	-20.22	0.9612	20159000	85625	0.029508357088931403	2981605660	11809357	0.039276333891233195	17.6804429515145	0.930615805426662
EHI01305	AGC33E1L1I1	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Unknown	Greenland	70.297	-21.95	0.9676	28254038	23799	0.026872728460038964	4200906995	3399219	0.0346335546212726	17.5443579086956	0.952862651088502
